CodDoc;IdTipoDoc;Número;CodDocVT;Título del documento;NameDocVT;Autor;URL;Página;NúmeroMarginal;Libro
LPB;OBC;017;LPB-OBC-017;Nietzsche como pensador de dualidades.txt;LPB-OBC-017-Nietzsche como pensador de dualidades.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;018;LPB-OBC-018;El hombre en la historia. Ayudar a crecer. Antropología de la acción directiva.txt;LPB-OBC-018-El hombre en la historia. Ayudar a crecer. Antropología de la acción directiva.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;019;LPB-OBC-019;Persona y libertad.txt;LPB-OBC-019-Persona y libertad.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;020;LPB-OBC-020;El conocimiento del universo físico.txt;LPB-OBC-020-El conocimiento del universo físico.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;021;LPB-OBC-021;Curso de psicología general.txt;LPB-OBC-021-Curso de psicología general.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;022;LPB-OBC-022;Lecciones de psicología clásica.txt;LPB-OBC-022-Lecciones de psicología clásica.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;023;LPB-OBC-023;La esencia del hombre.txt;LPB-OBC-023-La esencia del hombre.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;024;LPB-OBC-024;Estudios de filosofía moderna y contemporánea.txt;LPB-OBC-024-Estudios de filosofía moderna y contemporánea.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;025;LPB-OBC-025;Filosofía y economía.txt;LPB-OBC-025-Filosofía y economía.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;026;LPB-OBC-026;Escritos Menores 2001-2014.txt;LPB-OBC-026-Escritos Menores 2001-2014.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;027;LPB-OBC-027;Epistemología, creación y divinidad.txt;LPB-OBC-027-Epistemología, creación y divinidad.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;028;LPB-OBC-028;Itinerario hacia la antropología trascendental I.txt;LPB-OBC-028-Itinerario hacia la antropología trascendental I.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;029;LPB-OBC-029;Itinerario hacia la antropología Trascendental II.txt;LPB-OBC-029-Itinerario hacia la antropología Trascendental II.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;030;LPB-OBC-030;Artículos y conferencias.txt;LPB-OBC-030-Artículos y conferencias.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;031;LPB-OBC-031;Cursos y Seminarios I.txt;LPB-OBC-031-Cursos y Seminarios I.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;032;LPB-OBC-032;Glosas a Niestzsche.txt;LPB-OBC-032-Glosas a Niestzsche.txt;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;001;STP-REV-001;1999-Miscelánea I.txt;STP-REV-001-1999-Miscelánea I.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;002;STP-REV-002;2000-Miscelánea II.txt;STP-REV-002-2000-Miscelánea II.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;003;STP-REV-003;2001-Miscelánea III.txt;STP-REV-003-2001-Miscelánea III.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;004;STP-REV-004;2002-Miscelánea IV.txt;STP-REV-004-2002-Miscelánea IV.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;005;STP-REV-005;2003-Polo y la Historia de la Filosofía I.txt;STP-REV-005-2003-Polo y la Historia de la Filosofía I.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;006;STP-REV-006;2004-Polo y la Historia de la Filosofía II.txt;STP-REV-006-2004-Polo y la Historia de la Filosofía II.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;007;STP-REV-007;2005-Polo y la Historia de la Filosofía III.txt;STP-REV-007-2005-Polo y la Historia de la Filosofía III.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;008;STP-REV-008;2006-En los 80 años de Leonardo Polo.txt;STP-REV-008-2006-En los 80 años de Leonardo Polo.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;009;STP-REV-009;2007-Miscelánea V.txt;STP-REV-009-2007-Miscelánea V.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;010;STP-REV-010;2008-Miscelánea VI.txt;STP-REV-010-2008-Miscelánea VI.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;011;STP-REV-011;2009-El viviente y la biología en Leonardo Polo.txt;STP-REV-011-2009-El viviente y la biología en Leonardo Polo.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;012;STP-REV-012;2010-Pluralidad de tiempos según la filosofía de Polo.txt;STP-REV-012-2010-Pluralidad de tiempos según la filosofía de Polo.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;013;STP-REV-013;2011-El acceso a la antropología trascendental.txt;STP-REV-013-2011-El acceso a la antropología trascendental.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;014;STP-REV-014;2012-El acceso a Dios.txt;STP-REV-014-2012-El acceso a Dios.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;015;STP-REV-015;2013-Libertad trascendental.txt;STP-REV-015-2013-Libertad trascendental.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;016;STP-REV-016;2014-Polo ante la crítica.txt;STP-REV-016-2014-Polo ante la crítica.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;017;STP-REV-017;2015-Leonardo Polo y Xavier Zubiri Fenomenología, Realismo, y Filosofía trascendental.txt;STP-REV-017-2015-Leonardo Polo y Xavier Zubiri Fenomenología, Realismo, y Filosofía trascendental.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;018;STP-REV-018;2016-Estudios sobre el Volumen II del Curso de Teoría del Conocimiento de Leonardo Polo.txt;STP-REV-018-2016-Estudios sobre el Volumen II del Curso de Teoría del Conocimiento de Leonardo Polo.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;019;STP-REV-019;2017-Dios atracción y acicate del saber.txt;STP-REV-019-2017-Dios atracción y acicate del saber.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;020;STP-REV-020;2018-Primero familia, segundo educación.txt;STP-REV-020-2018-Primero familia, segundo educación.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;021;STP-REV-021;2019-Las dimensiones del abandono del límite mental.txt;STP-REV-021-2019-Las dimensiones del abandono del límite mental.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;022;STP-REV-022;2020-Economía y empresa.txt;STP-REV-022-2020-Economía y empresa.txt;Studia Poliana;https://ebooks.eunsa.es/library/my-publications;;;
